id,author-name,book-title,subgenre,year,year-cat,canon-cat,gender-cat,length,length-cat,counter,Author-birth,Author-death,GND,author_wikidata_id,work_wikidata_id
DEU048,"Freytag, Gustav",Die Ahnen,foo,1872,T2,high,m,715658,long,1,1816,1895,http://d-nb.info/gnd/118535455,Q58811,Q42185371
DEU049,"Raabe, Wilhelm","Die Leute aus dem Walde, ihre Sterne, Wege und Schicksale",foo,1863,T2,low,m,149073,long,1,1831,1910,http://d-nb.info/gnd/118692577,Q84820,Q1214404
DEU050,"Raabe, Wilhelm",Abu Telfan oder Die Heimkehr vom Mondgebirge,foo,1867,T2,medium,m,136330,long,1,1831,1910,http://d-nb.info/gnd/118692577,Q84820,Q335418
DEU051,"Fontane, Theodor",Unterm Birnbaum,foo,1885,T3,high,m,40316,short,1,1819,1898,http://d-nb.info/gnd/118534262,Q76632,Q938689
DEU052,"Spyri, Johanna",Heidis Lehr- und Wanderjahre,foo,1880,T3,high,f,61406,medium,1,1827,1901,http://d-nb.info/gnd/118616455,Q123053,Q111239544
DEU053,"Fontane, Theodor",Graf Petöfy,foo,1884,T3,high,m,71428,medium,1,1819,1898,http://d-nb.info/gnd/118534262,Q76632,Q1541390
DEU054,"May, Karl",Am Jenseits,foo,1899,T3,high,m,186082,long,1,1842,1912,http://d-nb.info/gnd/118818651,Q22714,Q451338
DEU055,"Bahr, Hermann",Die gute Schule,foo,1890,T3,low,m,64346,medium,1,1836,1934,http://d-nb.info/gnd/118505955,Q94034,Q111239483
DEU056,"Conradi, Hermann",Adam Mensch,foo,1889,T3,medium,m,117914,long,1,1862,1890,http://d-nb.info/gnd/118669923,Q88379,Q108567895
DEU057,"Dohm, Hedwig",Sibilla Dalmar,foo,1896,T3,low,f,97263,medium,1,1831,1919,http://d-nb.info/gnd/11852643X,Q71491,Q108632484
DEU058,"Ebner-Eschenbach, Marie von","Lotti, die Uhrmacherin",foo,1880,T3,high,f,41591,short,1,1830,1916,http://d-nb.info/gnd/118528661,Q93525,Q108668505
DEU059,"Fontane, Theodor","Irrungen, Wirrungen",foo,1887,T3,high,m,63334,medium,1,1819,1898,http://d-nb.info/gnd/118534262,Q76632,Q669599
DEU060,"Janitschek, Maria",Die Amazonenschlacht,foo,1897,T3,low,f,21931,short,1,1859,1927,http://d-nb.info/gnd/117078719,Q88216,Q111239479
DEU061,"Bleibtreu, Karl",Größenwahn,foo,1888,T3,low,m,294270,long,1,1859,1928,http://d-nb.info/gnd/118663909,Q95194,Q105836056
DEU062,"Polenz, Wilhelm von",Der Büttnerbauer,foo,1895,T3,high,m,140675,long,1,1861,1903,http://d-nb.info/gnd/118803336,Q1555222,Q111239456
DEU063,"Dohm, Hedwig",Wie Frauen werden,foo,1894,T3,low,f,38398,short,1,1831,1919,http://d-nb.info/gnd/11852643X,Q71491,Q111239635
DEU064,"Christen, Ada",Jungfer Mutter,foo,1892,T3,low,f,47731,short,1,1839,1901,http://d-nb.info/gnd/1014783895,Q85002,Q111239576
DEU065,"Spielhagen, Friedrich",Zum Zeitvertreib,foo,1897,T3,low,m,67471,medium,1,1823,1911,http://d-nb.info/gnd/118616196,Q106603,Q111239639
DEU066,"Fontane, Theodor",Der Stechlin,foo,1897,T3,high,m,154063,long,1,1819,1898,http://d-nb.info/gnd/118534262,Q76632,Q1197130
DEU067,"Ganghofer, Ludwig",Schloß Hubertus,foo,1895,T3,high,m,198887,long,1,1855,1920,http://d-nb.info/gnd/118537490,Q77475,Q86009476
DEU068,"Spitteler, Carl",Conrad,foo,1898,T3,low,m,52176,medium,1,1845,1925,http://d-nb.info/gnd/118616277,Q226525,Q111239438
DEU069,"Kretzer, Max",Meister Timpe,foo,1888,T3,low,m,92656,medium,1,1854,1941,http://d-nb.info/gnd/118715917,Q108847,Q111239597
DEU070,"Fontane, Theodor",Schach von Wuthenow,foo,1882,T3,high,m,50542,medium,1,1819,1898,http://d-nb.info/gnd/118534262,Q76632,Q2229265
DEU071,"Fontane, Theodor",Cécile,foo,1887,T3,high,m,67507,medium,1,1819,1898,http://d-nb.info/gnd/118534262,Q76632,Q1150085
DEU072,"Raabe, Wilhelm",Im alten Eisen,foo,1887,T3,high,m,64386,medium,1,1831,1910,http://d-nb.info/gnd/118692577,Q84820,Q1474111
DEU073,"Dohm, Hedwig",Schicksale einer Seele,foo,1899,T3,low,f,104561,long,1,1831,1919,http://d-nb.info/gnd/11852643X,Q71491,Q108632301
DEU074,"Boy-Ed, Ida",Fanny Förster,foo,1889,T3,low,f,84303,medium,1,1852,1928,http://d-nb.info/gnd/118662473,Q109471,Q111239503
DEU075,"Janitschek, Maria",Ninive,foo,1896,T3,low,f,56550,medium,1,1859,1927,http://d-nb.info/gnd/117078719,Q88216,Q111239598
DEU076,"Wassermann, Jakob",Caspar Hauser,foo,1907,T4,high,m,156760,long,1,1873,1934,http://d-nb.info/gnd/1014784077,Q60369,Q42187701
DEU077,"Reventlow, Franziska Gräfin zu",Ellen Olestjerne,foo,1903,T4,medium,f,73402,medium,1,1871,1918,http://d-nb.info/gnd/118600044,Q71429,Q19193408
DEU078,"Essig, Hermann",Der Taifun,foo,1919,T4,low,m,118751,long,1,1878,1918,http://d-nb.info/gnd/118531212,Q1611018,Q111239472
DEU079,"Rilke, Rainer Maria",Die Aufzeichnungen des Malte Laurids Brigge,foo,1910,T4,high,m,70411,medium,1,1875,1926,http://d-nb.info/gnd/118601024,Q76483,Q968544
DEU080,"Keyserling, Eduard von",Dumala,foo,1907,T4,low,m,37961,short,1,1855,1918,http://d-nb.info/gnd/118561812,Q77494,Q1264876
DEU081,"May, Karl",Und Friede auf Erden!,foo,1904,T4,high,m,210053,long,1,1842,1912,http://d-nb.info/gnd/118818651,Q22714,Q1743176
DEU082,"Braun, Lily",Lebenssucher,foo,1915,T4,low,f,142219,long,1,1865,1916,http://d-nb.info/gnd/11867353X,Q71372,Q111239585
DEU083,"Sack, Gustav",Paralyse,foo,1913,T4,low,m,23323,short,1,1885,1916,http://d-nb.info/gnd/118750607,Q1556344,Q111239601
DEU084,"May, Karl",Ardistan und Dschinnistan II,foo,1909,T4,high,m,205246,long,1,1842,1912,http://d-nb.info/gnd/118818651,Q22714,Q109390780
DEU085,"Ganghofer, Ludwig",Der Ochsenkrieg,foo,1914,T4,high,m,212235,long,1,1855,1920,http://d-nb.info/gnd/118537490,Q77475,Q23307587
DEU086,"Meysenbug, Malwida Freiin von",Himmlische und irdische Liebe,foo,1905,T4,low,f,45345,short,1,1861,1903,http://d-nb.info/gnd/1014784034,Q68795,Q111239548
